# z_Ang d_from_mol_Ang V_A_eV V_B_eV dV_eV dV_mac_eV
0.000000e+00 -4.347545e+01 -7.854682e-01 -7.448795e-01 -5.883865e-03 1.419090e-02
7.245947e-02 -4.340300e+01 -7.769720e-01 -7.363863e-01 -5.880885e-03 1.327109e-02
1.449189e-01 -4.333054e+01 -7.518803e-01 -7.113071e-01 -5.868368e-03 1.235198e-02
2.173784e-01 -4.325808e+01 -7.118647e-01 -6.713104e-01 -5.849473e-03 1.143365e-02
2.898379e-01 -4.318562e+01 -6.602802e-01 -6.197524e-01 -5.822949e-03 1.051603e-02
3.622974e-01 -4.311316e+01 -6.018682e-01 -5.613753e-01 -5.788140e-03 9.599180e-03
4.347568e-01 -4.304070e+01 -5.412699e-01 -5.009648e-01 -5.600326e-03 8.682440e-03
5.072163e-01 -4.296824e+01 -4.817061e-01 -4.415528e-01 -5.448394e-03 7.765127e-03
5.796758e-01 -4.289578e+01 -4.238323e-01 -3.837246e-01 -5.402945e-03 6.846640e-03
6.521353e-01 -4.282332e+01 -3.700294e-01 -3.299634e-01 -5.361192e-03 5.928877e-03
7.245947e-01 -4.275086e+01 -3.232768e-01 -2.832578e-01 -5.314134e-03 5.013557e-03
7.970542e-01 -4.267840e+01 -2.860015e-01 -2.460251e-01 -5.271532e-03 4.099096e-03
8.695137e-01 -4.260594e+01 -2.611260e-01 -2.211097e-01 -5.311482e-03 3.186783e-03
9.419731e-01 -4.253348e+01 -2.483578e-01 -2.082983e-01 -5.354680e-03 2.274931e-03
1.014433e+00 -4.246102e+01 -2.467444e-01 -2.067261e-01 -5.313523e-03 1.363492e-03
1.086892e+00 -4.238856e+01 -2.559639e-01 -2.160708e-01 -5.188309e-03 4.524834e-04
1.159352e+00 -4.231610e+01 -2.753898e-01 -2.355385e-01 -5.146526e-03 -4.523242e-04
1.231811e+00 -4.224364e+01 -3.025693e-01 -2.628326e-01 -5.031876e-03 -1.369403e-03
1.304271e+00 -4.217118e+01 -3.333093e-01 -2.936096e-01 -4.994862e-03 -2.286269e-03
1.376730e+00 -4.209872e+01 -3.623341e-01 -3.226718e-01 -4.957430e-03 -3.202765e-03
1.449189e+00 -4.202627e+01 -3.850202e-01 -3.453958e-01 -4.919551e-03 -4.118984e-03
1.521649e+00 -4.195381e+01 -3.981293e-01 -3.585427e-01 -4.881732e-03 -5.034972e-03
1.594108e+00 -4.188135e+01 -3.997309e-01 -3.601790e-01 -4.847042e-03 -5.006782e-03
1.666568e+00 -4.180889e+01 -3.895754e-01 -3.500535e-01 -4.817002e-03 -4.978510e-03
1.739027e+00 -4.173643e+01 -3.691936e-01 -3.297051e-01 -4.783623e-03 -4.950311e-03
1.811487e+00 -4.166397e+01 -3.414875e-01 -3.020298e-01 -4.752867e-03 -4.922319e-03
1.883946e+00 -4.159151e+01 -3.107045e-01 -2.712802e-01 -4.719518e-03 -4.894700e-03
1.956406e+00 -4.151905e+01 -2.821264e-01 -2.427066e-01 -4.715018e-03 -4.867771e-03
2.028865e+00 -4.144659e+01 -2.603518e-01 -2.209074e-01 -4.739635e-03 -4.844901e-03
2.101325e+00 -4.137413e+01 -2.483303e-01 -2.088353e-01 -4.790150e-03 -4.818538e-03
2.173784e+00 -4.130167e+01 -2.470235e-01 -2.075597e-01 -4.758991e-03 -4.792996e-03
2.246244e+00 -4.122921e+01 -2.567791e-01 -2.174203e-01 -4.653953e-03 -4.768274e-03
2.318703e+00 -4.115675e+01 -2.783605e-01 -2.390387e-01 -4.616998e-03 -4.744474e-03
2.391163e+00 -4.108429e+01 -3.124970e-01 -2.732675e-01 -4.524641e-03 -4.721555e-03
2.463622e+00 -4.101183e+01 -3.570596e-01 -3.178499e-01 -4.504852e-03 -4.699390e-03
2.536082e+00 -4.093937e+01 -4.092219e-01 -3.700300e-01 -4.487060e-03 -4.675693e-03
2.608541e+00 -4.086691e+01 -4.663163e-01 -4.271429e-01 -4.468553e-03 -4.653645e-03
2.681000e+00 -4.079445e+01 -5.254943e-01 -4.865876e-01 -4.201911e-03 -4.633946e-03
2.753460e+00 -4.072199e+01 -5.860971e-01 -5.466627e-01 -4.729562e-03 -4.615241e-03
2.825919e+00 -4.064954e+01 -6.455150e-01 -6.060898e-01 -4.720442e-03 -4.597347e-03
2.898379e+00 -4.057708e+01 -6.994137e-01 -6.600044e-01 -4.704528e-03 -4.580307e-03
2.970838e+00 -4.050462e+01 -7.429273e-01 -7.035299e-01 -4.692607e-03 -4.564012e-03
3.043298e+00 -4.043216e+01 -7.722358e-01 -7.328483e-01 -4.682653e-03 -4.548478e-03
3.115757e+00 -4.035970e+01 -7.852650e-01 -7.458885e-01 -4.671685e-03 -4.533679e-03
3.188217e+00 -4.028724e+01 -7.812526e-01 -7.418826e-01 -4.665188e-03 -4.519551e-03
3.260676e+00 -4.021478e+01 -7.604226e-01 -7.210620e-01 -4.655831e-03 -4.506126e-03
3.333136e+00 -4.014232e+01 -7.240871e-01 -6.847364e-01 -4.645817e-03 -4.493425e-03
