# z_Ang d_from_mol_Ang V_A_eV V_B_eV dV_eV dV_mac_eV
0.000000e+00 -4.963508e+01 -7.975081e-01 -7.210236e-01 -9.339318e-03 2.798859e-02
7.115443e-02 -4.956392e+01 -7.891890e-01 -7.127047e-01 -9.339139e-03 2.628149e-02
1.423089e-01 -4.949277e+01 -7.648471e-01 -6.883556e-01 -9.346291e-03 2.457400e-02
2.134633e-01 -4.942161e+01 -7.260106e-01 -6.495121e-01 -9.353265e-03 2.286607e-02
2.846177e-01 -4.935046e+01 -6.757848e-01 -5.992741e-01 -9.365544e-03 2.115775e-02
3.557721e-01 -4.927930e+01 -6.186004e-01 -5.420744e-01 -9.380862e-03 1.945010e-02
4.269266e-01 -4.920815e+01 -5.589154e-01 -4.824354e-01 -9.334847e-03 1.774134e-02
4.980810e-01 -4.913699e+01 -4.998122e-01 -4.233106e-01 -9.356424e-03 1.603227e-02
5.692354e-01 -4.906584e+01 -4.423042e-01 -3.657799e-01 -9.379104e-03 1.432295e-02
6.403898e-01 -4.899469e+01 -3.882075e-01 -3.116617e-01 -9.400621e-03 1.261420e-02
7.115443e-01 -4.892353e+01 -3.404415e-01 -2.638718e-01 -9.424523e-03 1.090428e-02
7.826987e-01 -4.885238e+01 -3.011002e-01 -2.244914e-01 -9.463608e-03 9.194133e-03
8.538531e-01 -4.878122e+01 -2.732320e-01 -1.966047e-01 -9.482086e-03 7.484401e-03
9.250075e-01 -4.871007e+01 -2.569399e-01 -1.802925e-01 -9.502128e-03 5.773178e-03
9.961620e-01 -4.863891e+01 -2.512158e-01 -1.745915e-01 -9.479120e-03 4.061828e-03
1.067316e+00 -4.856776e+01 -2.558290e-01 -1.791448e-01 -9.538993e-03 2.350241e-03
1.138471e+00 -4.849660e+01 -2.704160e-01 -1.937134e-01 -9.557441e-03 6.412232e-04
1.209625e+00 -4.842545e+01 -2.938227e-01 -2.171019e-01 -9.575546e-03 -1.071173e-03
1.280780e+00 -4.835430e+01 -3.231295e-01 -2.464206e-01 -9.563759e-03 -2.783122e-03
1.351934e+00 -4.828314e+01 -3.538636e-01 -2.771129e-01 -9.605482e-03 -4.494970e-03
1.423089e+00 -4.821199e+01 -3.810782e-01 -3.043095e-01 -9.623453e-03 -6.206692e-03
1.494243e+00 -4.814083e+01 -4.008644e-01 -3.240789e-01 -9.640291e-03 -7.918308e-03
1.565397e+00 -4.806968e+01 -4.105521e-01 -3.337513e-01 -9.655699e-03 -9.629742e-03
1.636552e+00 -4.799852e+01 -4.087464e-01 -3.319270e-01 -9.674206e-03 -9.641235e-03
1.707706e+00 -4.792737e+01 -3.957153e-01 -3.188781e-01 -9.691998e-03 -9.652321e-03
1.778861e+00 -4.785621e+01 -3.732893e-01 -2.964325e-01 -9.711608e-03 -9.662946e-03
1.850015e+00 -4.778506e+01 -3.444988e-01 -2.676244e-01 -9.729251e-03 -9.673029e-03
1.921170e+00 -4.771391e+01 -3.136562e-01 -2.368119e-01 -9.699151e-03 -9.682247e-03
1.992324e+00 -4.764275e+01 -2.857557e-01 -2.088615e-01 -9.748951e-03 -9.690711e-03
2.063478e+00 -4.757160e+01 -2.648501e-01 -1.879417e-01 -9.763256e-03 -9.697540e-03
2.134633e+00 -4.750044e+01 -2.533017e-01 -1.763826e-01 -9.773970e-03 -9.706273e-03
2.205787e+00 -4.742929e+01 -2.518584e-01 -1.749648e-01 -9.748474e-03 -9.713941e-03
2.276942e+00 -4.735813e+01 -2.608115e-01 -1.838650e-01 -9.801298e-03 -9.720594e-03
2.348096e+00 -4.728698e+01 -2.805809e-01 -2.036242e-01 -9.811491e-03 -9.725826e-03
2.419250e+00 -4.721582e+01 -3.121932e-01 -2.352553e-01 -9.792760e-03 -9.728913e-03
2.490405e+00 -4.714467e+01 -3.544873e-01 -2.774823e-01 -9.859845e-03 -9.731040e-03
2.561559e+00 -4.707352e+01 -4.044678e-01 -3.274570e-01 -9.865537e-03 -9.732212e-03
2.632714e+00 -4.700236e+01 -4.599554e-01 -3.829340e-01 -9.876236e-03 -9.732565e-03
2.703868e+00 -4.693121e+01 -5.179917e-01 -4.410858e-01 -9.760633e-03 -9.731844e-03
2.775023e+00 -4.686005e+01 -5.775540e-01 -5.004961e-01 -9.912655e-03 -9.730238e-03
2.846177e+00 -4.678890e+01 -6.368852e-01 -5.598475e-01 -9.892508e-03 -9.727651e-03
2.917331e+00 -4.671774e+01 -6.924228e-01 -6.153896e-01 -9.887978e-03 -9.726001e-03
2.988486e+00 -4.664659e+01 -7.395446e-01 -6.625171e-01 -9.882316e-03 -9.722921e-03
3.059640e+00 -4.657544e+01 -7.741261e-01 -6.971033e-01 -9.877548e-03 -9.718868e-03
3.130795e+00 -4.650428e+01 -7.935783e-01 -7.165638e-01 -9.869322e-03 -9.713931e-03
3.201949e+00 -4.643313e+01 -7.967462e-01 -7.197445e-01 -9.856507e-03 -9.708133e-03
3.273104e+00 -4.636197e+01 -7.834555e-01 -7.064723e-01 -9.838030e-03 -9.701443e-03
3.344258e+00 -4.629082e+01 -7.544612e-01 -6.774916e-01 -9.824380e-03 -9.693884e-03
3.415412e+00 -4.621966e+01 -7.117355e-01 -6.347833e-01 -9.807035e-03 -9.685394e-03
3.486567e+00 -4.614851e+01 -6.588740e-01 -5.819485e-01 -9.780332e-03 -9.676012e-03
3.557721e+00 -4.607735e+01 -6.004964e-01 -5.235895e-01 -9.761736e-03 -9.665706e-03
3.628876e+00 -4.600620e+01 -5.407395e-01 -4.639521e-01 -9.642169e-03 -9.654024e-03
3.700030e+00 -4.593505e+01 -4.820821e-01 -4.051875e-01 -9.749398e-03 -9.641562e-03
3.771185e+00 -4.586389e+01 -4.253389e-01 -3.484695e-01 -9.724185e-03 -9.627750e-03
3.842339e+00 -4.579274e+01 -3.729172e-01 -2.960721e-01 -9.699985e-03 -9.614850e-03
3.913493e+00 -4.572158e+01 -3.274708e-01 -2.506657e-01 -9.659961e-03 -9.600379e-03
3.984648e+00 -4.565043e+01 -2.914189e-01 -2.146711e-01 -9.602547e-03 -9.585302e-03
4.055802e+00 -4.557927e+01 -2.672360e-01 -1.905131e-01 -9.577781e-03 -9.570312e-03
4.126957e+00 -4.550812e+01 -2.542940e-01 -1.775940e-01 -9.554863e-03 -9.553630e-03
4.198111e+00 -4.543696e+01 -2.517580e-01 -1.751178e-01 -9.495005e-03 -9.536303e-03
4.269266e+00 -4.536581e+01 -2.595084e-01 -1.828566e-01 -9.506539e-03 -9.518247e-03
4.340420e+00 -4.529466e+01 -2.770256e-01 -2.003953e-01 -9.485170e-03 -9.499301e-03
4.411574e+00 -4.522350e+01 -3.026527e-01 -2.260484e-01 -9.459123e-03 -9.474488e-03
4.482729e+00 -4.515235e+01 -3.329434e-01 -2.563087e-01 -9.489521e-03 -9.449326e-03
4.553883e+00 -4.508119e+01 -3.631039e-01 -2.864918e-01 -9.466901e-03 -9.423653e-03
4.625038e+00 -4.501004e+01 -3.883971e-01 -3.118109e-01 -9.441063e-03 -9.397536e-03
4.696192e+00 -4.493888e+01 -4.053172e-01 -3.287539e-01 -9.418115e-03 -9.370963e-03
4.767347e+00 -4.486773e+01 -4.115545e-01 -3.350146e-01 -9.394780e-03 -9.344115e-03
4.838501e+00 -4.479657e+01 -4.061869e-01 -3.296686e-01 -9.373173e-03 -9.317120e-03
4.909655e+00 -4.472542e+01 -3.900129e-01 -3.135159e-01 -9.351835e-03 -9.290257e-03
4.980810e+00 -4.465427e+01 -3.652535e-01 -2.887787e-01 -9.329572e-03 -9.263394e-03
5.051964e+00 -4.458311e+01 -3.353218e-01 -2.588696e-01 -9.307072e-03 -9.236617e-03
5.123119e+00 -4.451196e+01 -3.048846e-01 -2.285040e-01 -9.235367e-03 -9.210291e-03
5.194273e+00 -4.444080e+01 -2.787924e-01 -2.024240e-01 -9.223267e-03 -9.184239e-03
5.265428e+00 -4.436965e+01 -2.606169e-01 -1.842692e-01 -9.202451e-03 -9.163955e-03
5.336582e+00 -4.429849e+01 -2.521437e-01 -1.758460e-01 -9.152457e-03 -9.144127e-03
5.407736e+00 -4.422734e+01 -2.539392e-01 -1.776260e-01 -9.167954e-03 -9.124768e-03
5.478891e+00 -4.415618e+01 -2.661142e-01 -1.898189e-01 -9.150118e-03 -9.105861e-03
5.550045e+00 -4.408503e+01 -2.894473e-01 -2.131691e-01 -9.133011e-03 -9.088954e-03
5.621200e+00 -4.401388e+01 -3.246816e-01 -2.484181e-01 -9.118229e-03 -9.072795e-03
5.692354e+00 -4.394272e+01 -3.695637e-01 -2.933094e-01 -9.109125e-03 -9.057060e-03
5.763509e+00 -4.387157e+01 -4.215539e-01 -3.453228e-01 -9.085849e-03 -9.042017e-03
5.834663e+00 -4.380041e+01 -4.780946e-01 -4.018857e-01 -9.063706e-03 -9.027725e-03
5.905817e+00 -4.372926e+01 -5.366459e-01 -4.605927e-01 -8.908048e-03 -9.012865e-03
5.976972e+00 -4.365810e+01 -5.963979e-01 -5.204566e-01 -8.796081e-03 -8.998180e-03
6.048126e+00 -4.358695e+01 -6.550144e-01 -5.791090e-01 -8.760199e-03 -8.984206e-03
6.119281e+00 -4.351579e+01 -7.084571e-01 -6.325792e-01 -8.732721e-03 -8.968056e-03
6.190435e+00 -4.344464e+01 -7.520936e-01 -6.762414e-01 -8.707032e-03 -8.952029e-03
6.261589e+00 -4.337349e+01 -7.822092e-01 -7.063822e-01 -8.681759e-03 -8.936281e-03
6.332744e+00 -4.330233e+01 -7.967221e-01 -7.209157e-01 -8.661196e-03 -8.920671e-03
6.403898e+00 -4.323118e+01 -7.948037e-01 -7.190168e-01 -8.641705e-03 -8.905200e-03
6.475053e+00 -4.316002e+01 -7.765615e-01 -7.007871e-01 -8.629188e-03 -8.889779e-03
6.546207e+00 -4.308887e+01 -7.430711e-01 -6.673104e-01 -8.615538e-03 -8.874330e-03
6.617362e+00 -4.301771e+01 -6.967875e-01 -6.210403e-01 -8.602068e-03 -8.858802e-03
6.688516e+00 -4.294656e+01 -6.417501e-01 -5.660092e-01 -8.595690e-03 -8.843491e-03
6.759670e+00 -4.287541e+01 -5.825987e-01 -5.068642e-01 -8.589372e-03 -8.828751e-03
6.830825e+00 -4.280425e+01 -5.230159e-01 -4.471413e-01 -8.729413e-03 -8.813697e-03
6.901979e+00 -4.273310e+01 -4.649051e-01 -3.889028e-01 -8.857146e-03 -8.798452e-03
6.973134e+00 -4.266194e+01 -4.091879e-01 -3.331897e-01 -8.853033e-03 -8.782710e-03
7.044288e+00 -4.259079e+01 -3.587551e-01 -2.827607e-01 -8.849159e-03 -8.766941e-03
7.115443e+00 -4.251963e+01 -3.158652e-01 -2.398209e-01 -8.899122e-03 -8.750876e-03
